Created as New Dataset,Sample 113 By Administrator Date Wednesday, July 29 2020
cm-1,A
1760.00,0.1150
1758.00,0.1215
1756.00,0.1289
1754.00,0.1364
1752.00,0.1437
1750.00,0.1499
1748.00,0.1547
1746.00,0.1577
1744.00,0.1581
1742.00,0.1559
1740.00,0.1525
1738.00,0.1479
1736.00,0.1441
1734.00,0.1389
1732.00,0.1330
1730.00,0.1289
1728.00,0.1252
1726.00,0.1220
1724.00,0.1190
1722.00,0.1156
1720.00,0.1129
1718.00,0.1107
1716.00,0.1081
1714.00,0.1063
1712.00,0.1050
1710.00,0.1037
1708.00,0.1021
1706.00,0.1010
1704.00,0.0997
1702.00,0.0982
1700.00,0.0963
1698.00,0.0953
1696.00,0.0948
1694.00,0.0934
1692.00,0.0935
1690.00,0.0945
1688.00,0.0957
1686.00,0.0969
1684.00,0.0995
1682.00,0.1027
1680.00,0.1051
1678.00,0.1064
1676.00,0.1080
1674.00,0.1097
1672.00,0.1108
1670.00,0.1122
1668.00,0.1136
1666.00,0.1135
1664.00,0.1121
1662.00,0.1102
1660.00,0.1077
1658.00,0.1043
1656.00,0.1010
1654.00,0.0978
1652.00,0.0949
1650.00,0.0921
1648.00,0.0906
1646.00,0.0894
1644.00,0.0883
1642.00,0.0873
1640.00,0.0858
1638.00,0.0842
1636.00,0.0838
1634.00,0.0849
1632.00,0.0861
1630.00,0.0869
1628.00,0.0883
1626.00,0.0903
1624.00,0.0930
1622.00,0.0965
1620.00,0.1000
1618.00,0.1052
1616.00,0.1158
1614.00,0.1310
1612.00,0.1548
1610.00,0.1995
1608.00,0.2823
1606.00,0.4167
1604.00,0.5943
1602.00,0.7491
1600.00,0.7440
1598.00,0.5910
1596.00,0.4316
1594.00,0.3219
1592.00,0.2554
1590.00,0.2174
1588.00,0.2087
1586.00,0.2369
1584.00,0.2818
1582.00,0.2808
1580.00,0.2229
1578.00,0.1674
1576.00,0.1315
1574.00,0.1125
1572.00,0.1024
1570.00,0.0950
1568.00,0.0909
1566.00,0.0890
1564.00,0.0880
1562.00,0.0874
1560.00,0.0867
1558.00,0.0905
1556.00,0.0959
1554.00,0.1013
1552.00,0.1071
1550.00,0.1134
1548.00,0.1194
1546.00,0.1247
1544.00,0.1277
1542.00,0.1280
1540.00,0.1271
1538.00,0.1233
1536.00,0.1179
1534.00,0.1111
1532.00,0.1035
1530.00,0.0977
1528.00,0.0933
1526.00,0.0895
1524.00,0.0870
1522.00,0.0872
1520.00,0.0880
1518.00,0.0900
1516.00,0.0939
1514.00,0.0987
1512.00,0.1046
1510.00,0.1116
1508.00,0.1217
1506.00,0.1447
1504.00,0.1778
1502.00,0.2252
1500.00,0.3178
1498.00,0.5105
1496.00,0.8992
1494.00,1.5162
1492.00,1.6221
1490.00,1.0419
1488.00,0.6622
1486.00,0.4480
1484.00,0.3213
1482.00,0.2431
1480.00,0.1985
1478.00,0.1760
1476.00,0.1654
1474.00,0.1608
1472.00,0.1621
1470.00,0.1665
1468.00,0.1743
1466.00,0.1865
1464.00,0.2097
1462.00,0.2444
1460.00,0.3029
1458.00,0.4424
1456.00,0.8198
1454.00,1.4025
1452.00,1.8095
1450.00,1.5063
1448.00,1.1788
1446.00,0.9453
1444.00,0.7722
1442.00,0.6276
1440.00,0.5181
1438.00,0.4274
1436.00,0.3334
1434.00,0.2636
1432.00,0.2165
1430.00,0.1808
1428.00,0.1568
1426.00,0.1427
1424.00,0.1328
1422.00,0.1265
1420.00,0.1223
1418.00,0.1184
1416.00,0.1150
1414.00,0.1129
1412.00,0.1115
1410.00,0.1107
1408.00,0.1104
1406.00,0.1109
1404.00,0.1116
1402.00,0.1131
1400.00,0.1157
1398.00,0.1202
1396.00,0.1267
1394.00,0.1371
1392.00,0.1510
1390.00,0.1685
1388.00,0.1902
1386.00,0.2138
1384.00,0.2339
1382.00,0.2512
1380.00,0.2668
1378.00,0.2828
1376.00,0.2987
1374.00,0.3113
1372.00,0.3160
1370.00,0.3146
1368.00,0.3099
1366.00,0.3050
1364.00,0.3003
1362.00,0.2937
1360.00,0.2847
1358.00,0.2753
1356.00,0.2676
1354.00,0.2632
1352.00,0.2616
1350.00,0.2606
1348.00,0.2577
1346.00,0.2516
1344.00,0.2430
1342.00,0.2343
1340.00,0.2275
1338.00,0.2244
1336.00,0.2276
1334.00,0.2370
1332.00,0.2496
1330.00,0.2598
1328.00,0.2622
1326.00,0.2562
1324.00,0.2466
1322.00,0.2382
1320.00,0.2336
1318.00,0.2334
1316.00,0.2367
1314.00,0.2409
1312.00,0.2422
1310.00,0.2383
1308.00,0.2301
1306.00,0.2201
1304.00,0.2099
1302.00,0.2000
1300.00,0.1909
1298.00,0.1842
1296.00,0.1802
1294.00,0.1780
1292.00,0.1757
1290.00,0.1726
1288.00,0.1692
1286.00,0.1667
1284.00,0.1659
1282.00,0.1657
1280.00,0.1644
1278.00,0.1607
1276.00,0.1551
1274.00,0.1490
1272.00,0.1438
1270.00,0.1398
1268.00,0.1369
1266.00,0.1350
1264.00,0.1337
1262.00,0.1331
